iter	RMSE
280	4.497445395
281	4.495793508
282	4.493232869
283	4.491110112
284	4.486739405
285	4.483273977
286	4.481750035
287	4.480409808
288	4.479178076
289	4.474589122
290	4.472025041
291	4.470282136
292	4.469748629
293	4.46739993
294	4.462817476
295	4.460521966
296	4.45980657
297	4.456216661
298	4.454534233
299	4.448704803
300	4.44796239
301	4.447317149
302	4.44378938
303	4.440594212
304	4.435821336
305	4.430643589
306	4.43029064
307	4.429966187
308	4.429005865
309	4.425872642
310	4.424839805
311	4.4205742
312	4.420240347
313	4.415979523
314	4.412005757
315	4.410513949
316	4.405446778
317	4.403128037
318	4.400278979
319	4.396145353
320	4.395755097
321	4.391750853
322	4.387067287
323	4.383807524
324	4.381140135
325	4.37975435
326	4.378093164
327	4.374292308
328	4.372815327
329	4.370454348
330	4.36872789
331	4.363366427
332	4.363052788
333	4.357652062
334	4.356704894
335	4.35501668
336	4.349076347
337	4.347881155
338	4.34312835
339	4.340464846
340	4.335063363
341	4.330140318
342	4.329378973
343	4.325050861
344	4.323587872
345	4.32098844
346	4.317143921
347	4.315989267
348	4.312772571
349	4.310433722
350	4.305456591
351	4.304071688
352	4.299168689
353	4.298118659
354	4.29476801
355	4.294463321
356	4.294145709
357	4.289211342
358	4.286578517
359	4.28429101
360	4.283685706
361	4.279658053
362	4.279353324
363	4.279078373
364	4.278840326
365	4.275166395
366	4.271160234
367	4.267174315
368	4.264104757
369	4.258050233
370	4.257738979
371	4.257484577
372	4.255509806
373	4.250845589
374	4.248625821
375	4.243429489
376	4.238963676
377	4.235381681
378	4.233144155
379	4.230056931
380	4.227695404
381	4.224626863
382	4.22156001
383	4.219904104
384	4.217806137
385	4.21642668
386	4.215854661
387	4.215707173
388	4.211274395
389	4.209421526
390	4.206319594
391	4.203554497
392	4.201209422
393	4.199310747
394	4.197333137
395	4.19681288
396	4.193593512
397	4.191052723
398	4.187723963
399	4.184268443
400	4.181850817
401	4.17943881
402	4.176872441
403	4.172268121
404	4.170937017
405	4.168785635
406	4.167425395
407	4.1630821
408	4.162056268
409	4.158779158
410	4.155431894
411	4.152489941
412	4.151711193
413	4.149408915
414	4.147715397
415	4.147392317
416	4.144676908
417	4.140649146
418	4.139182355
419	4.136419257
420	4.133217161
421	4.128909112
422	4.126786901
423	4.124468021
424	4.121893642
425	4.118929315
426	4.115145237
427	4.111710276
428	4.110830524
429	4.110310165
430	4.109255285
431	4.106302109
432	4.102723287
433	4.102475683
434	4.09998322
435	4.097547224
436	4.095528569
437	4.092141586
438	4.088095123
439	4.084245429
440	4.081216631
441	4.076601108
442	4.071756268
443	4.06888102
444	4.065834063
445	4.063545776
446	4.061604671
447	4.056775272
448	4.054834211
449	4.054527682
450	4.050592907
451	4.048173817
452	4.046277548
453	4.045195344
454	4.043344029
455	4.042114678
456	4.041559595
457	4.038915473
458	4.036787954
459	4.036615126
460	4.034827286
461	4.032188051
462	4.030969232
463	4.029844897
464	4.025060197
465	4.020751845
466	4.016996576
467	4.01450363
468	4.011440179
469	4.011258929
470	4.010222104
471	4.009719357
472	4.004331768
473	4.00185576
474	3.998589386
475	3.995550311
476	3.995435204
477	3.994492098
478	3.990609458
479	3.989236209
480	3.988777516
481	3.987215319
482	3.98546034
483	3.98321749
484	3.98022522
485	3.978226244
486	3.974502117
487	3.972644468
488	3.968767875
489	3.964698926
490	3.959947057
491	3.958572634
492	3.955673724
493	3.954888447
494	3.950992753
495	3.946933086
496	3.944052067
497	3.94184373
498	3.940685973
499	3.937058783
500	3.936202098
501	3.933127939
502	3.92869378
503	3.927547143
504	3.925498039
505	3.922304627
506	3.920708733
507	3.917228913
508	3.916641556
509	3.913531596
510	3.910280178
511	3.909936063
512	3.907269315
513	3.905747939
514	3.902300212
515	3.899476325
516	3.896543574
517	3.89374283
518	3.893423469
519	3.893179371
520	3.892757612
521	3.890521529
522	3.88644151
523	3.885891588
524	3.882812762
525	3.882272875
526	3.880290204
527	3.880070742
528	3.878973807
529	3.876582026
530	3.872692953
531	3.871336777
532	3.867332288
533	3.867121404
534	3.864741296
535	3.861643368
536	3.860606033
537	3.857552957
538	3.856248534
539	3.853366455
540	3.851207614
541	3.846488366
542	3.842089176
543	3.841677505
544	3.839781611
545	3.836405354
546	3.834131619
547	3.832037606
548	3.827922041
549	3.827522444
550	3.826321341
551	3.824010609
552	3.819298336
553	3.816863704
554	3.815582362
555	3.811501491
556	3.807732963
557	3.806491257
558	3.805165924
559	3.804056105
560	3.80115193
561	3.80044126
562	3.797465678
563	3.796495368
564	3.792916538
565	3.79187261
566	3.787120746
567	3.78574081
568	3.782392276
569	3.779413563
570	3.777236988
571	3.774283119
572	3.771583148
573	3.768274342
574	3.764700286
575	3.759337547
576	3.755195782
577	3.752219692
578	3.75173691
579	3.751698801
580	3.751184265
581	3.748610532
582	3.746580697
583	3.743940734
584	3.742476636
585	3.740558834
586	3.738282216
587	3.734574482
588	3.73368904
589	3.733627363
590	3.730239115
591	3.727983879
592	3.72615696
593	3.725231308
594	3.72328606
595	3.720689724
596	3.718754951
597	3.714497184
598	3.71159443
599	3.709928233
600	3.707520242
601	3.704391909
602	3.702640624
603	3.702370876
604	3.69967233
605	3.697427952
606	3.694484745
607	3.694149284
608	3.693971053
609	3.690653295
610	3.688101574
611	3.68637877
612	3.682898042
613	3.680020786
614	3.679122906
615	3.67839511
616	3.675469221
617	3.672846888
618	3.670405664
619	3.667535243
620	3.666287806
621	3.665811139
622	3.66369102
623	3.663383223
624	3.662008649
625	3.660041457
626	3.658346725
627	3.656382969
628	3.654120927
629	3.652471441
630	3.651387033
631	3.649262788
632	3.647464727
633	3.647176208
634	3.645705789
635	3.645463592
636	3.639625646
637	3.638733076
638	3.634706429
639	3.632221392
640	3.629509375
641	3.628873796
642	3.625259982
643	3.622942828
644	3.621116581
645	3.620558338
646	3.616176115
647	3.614944447
648	3.61112541
649	3.607505465
650	3.605124891
651	3.603194444
652	3.601765296
653	3.598398529
654	3.59731686
655	3.596601411
656	3.593922041
657	3.592542115
658	3.590846663
659	3.590573811
660	3.590147029
661	3.589268261
662	3.586645425
663	3.5864877
664	3.583665299
665	3.583380556
666	3.579308558
667	3.577370225
668	3.575901008
669	3.574013271
670	3.573215791
671	3.572092043
672	3.571873039
673	3.570730464
674	3.570449837
675	3.567877278
676	3.567031439
677	3.564293306
678	3.561190541
679	3.558273273
680	3.556268881
681	3.556047896
682	3.552432967
683	3.551297126
684	3.550414007
685	3.549672495
686	3.547364188
687	3.54607277
688	3.544317293
689	3.540220995
690	3.537685802
691	3.537381583
692	3.535078445
693	3.533483029
694	3.532713342
695	3.531100032
696	3.528908488
697	3.527131614
698	3.525957247
699	3.525314843
700	3.524882231
701	3.523326189
702	3.521549625
703	3.520746595
704	3.518896019
705	3.516521447
706	3.514876572
707	3.512865218
708	3.509545361
709	3.505414324
710	3.502909811
711	3.499724085
712	3.498006113
713	3.497059847
714	3.49504138
715	3.491289569
716	3.488920549
717	3.486580643
718	3.485100886
719	3.484964108
720	3.483422536
721	3.481824508
722	3.481757437
723	3.480320615
724	3.479954881
725	3.479375393
726	3.475748376
727	3.474961564
728	3.471687054
729	3.469911688
730	3.468869122
731	3.467698715
732	3.465546932
733	3.462003217
734	3.459129894
735	3.458354846
736	3.45722807
737	3.456455777
738	3.455289035
739	3.455097299
740	3.453390514
741	3.451704216
742	3.44844837
743	3.448160974
744	3.445712172
745	3.445577465
746	3.442860512
747	3.441971642
748	3.43901597
749	3.438710669
750	3.436787202
751	3.434978729
752	3.431856497
753	3.430143581
754	3.427466669
755	3.425205651
756	3.423986469
757	3.421763091
758	3.418535164
759	3.417655265
760	3.416629221
761	3.413074962
762	3.410755282
763	3.40837933
764	3.404663598
765	3.40112671
766	3.396781421
767	3.39341662
768	3.39238036
769	3.388914692
770	3.386241569
771	3.384547107
772	3.381197855
773	3.381059424
774	3.379160684
775	3.37564818
776	3.37297564
777	3.37112134
778	3.369859455
779	3.367669822
780	3.364722797
781	3.361535918
782	3.359355604
783	3.359033694
784	3.356413786
785	3.355709615
786	3.354857422
787	3.352359477
788	3.351314989
789	3.350645815
790	3.347885089
791	3.346659945
792	3.344997139
793	3.343628958
794	3.342850622
795	3.342131259
796	3.339543769
797	3.338774933
798	3.337285987
799	3.335234274
800	3.33242925
801	3.331029577
802	3.328267661
803	3.325676546
804	3.323208743
805	3.322022573
806	3.318697986
807	3.318577078
808	3.315605858
809	3.313420905
810	3.313182825
811	3.311850631
812	3.309383864
813	3.307342627
814	3.30613869
815	3.305350682
816	3.305204259
817	3.303254525
818	3.301353432
819	3.300525988
820	3.299791582
821	3.298582805
822	3.294385607
823	3.291611558
824	3.288605401
825	3.286353492
826	3.283109573
827	3.28285503
828	3.280894365
829	3.279948728
830	3.278778442
831	3.278647418
832	3.277044172
833	3.275124882
834	3.27382115
835	3.273546208
836	3.269015379
837	3.267493725
838	3.266756643
839	3.265227093
840	3.263905612
841	3.263490472
842	3.26230173
843	3.26209594
844	3.260236558
845	3.25801608
846	3.255788483
847	3.255661483
848	3.255056175
849	3.252215564
850	3.251208173
851	3.250111172
852	3.248711415
853	3.245576576
854	3.242846351
855	3.240360649
856	3.239945148
857	3.239178136
858	3.236799802
859	3.236040778
860	3.233180639
861	3.232792778
862	3.232366608
863	3.23193646
864	3.231887763
865	3.230679737
866	3.230515741
867	3.227332828
868	3.227248849
869	3.222759612
870	3.220865099
871	3.219117625
872	3.216447813
873	3.214949825
874	3.212749902
875	3.210816748
876	3.210044879
877	3.207967822
878	3.207275249
879	3.205735664
880	3.202473596
881	3.201512659
882	3.200633058
883	3.198040678
884	3.195297086
885	3.194242783
886	3.191811866
887	3.190123745
888	3.189713952
889	3.189464854
890	3.188083149
891	3.187187447
892	3.185732672
893	3.1839542
894	3.183137615
895	3.181487679
896	3.180170575
897	3.179006529
898	3.178059084
899	3.17720405
900	3.17451468
901	3.173287914
902	3.172195456
903	3.170782744
904	3.170057438
905	3.169182049
906	3.169086297
907	3.165401449
908	3.16434899
909	3.163033544
910	3.162811247
911	3.162144239
912	3.161959764
913	3.161866378
914	3.161565152
915	3.160721983
916	3.158102176
917	3.157446356
918	3.155741726
919	3.154412674
920	3.15433536
921	3.15302993
922	3.150652674
923	3.148440111
924	3.147265445
925	3.14470575
926	3.14338295
927	3.141741338
928	3.14161704
929	3.140438581
930	3.138464881
931	3.1369756
932	3.134333049
933	3.131551817
934	3.130954238
935	3.130603333
936	3.129656763
937	3.128603643
938	3.127499734
939	3.126315046
940	3.125551207
941	3.124756066
942	3.122293191
943	3.120552537
944	3.119873012
945	3.11969003
946	3.119142909
947	3.116508305
948	3.115276609
949	3.1120656
950	3.110695715
951	3.109332789
952	3.106271805
953	3.10495849
954	3.104851951
955	3.104259104
956	3.102544394
957	3.10134545
958	3.098306805
959	3.098056744
960	3.096440577
961	3.09539287
962	3.095016583
963	3.09394265
964	3.093029686
965	3.091529665
966	3.089926079
967	3.087043838
968	3.086257223
969	3.083775753
970	3.081569933
971	3.078814599
972	3.078187036
973	3.0759825
974	3.074891313
975	3.074063739
976	3.070858356
977	3.069501125
978	3.069423861
979	3.0685549
980	3.067256787
981	3.066340083
982	3.062635999
983	3.062045299
984	3.061415484
985	3.059459826
986	3.056660011
987	3.05470225
988	3.052889986
989	3.051051543
990	3.047038015
991	3.04577661
992	3.044476876
993	3.043700977
994	3.04298819
995	3.041304757
996	3.040485446
997	3.040141646
998	3.037306275
999	3.036485035
